User Input,Chatbot Response,Timestamp
hello,Hi there,2024-09-10 01:21:51
how are you ,My purpose is to assist you,2024-09-10 01:21:57
weather ,"I'm sorry, I cannot provide real-time weather information.",2024-09-10 01:22:20
How do I create a budget,"To make a budget, start by tracking your income and expenses. Then, allocate your income towards essential expenses like rent, food, and bills. Next, allocate some of your income towards savings and debt repayment. Finally, allocate the remainder of your income towards discretionary expenses like entertainment and hobbies.",2024-09-10 01:22:30
Today is a nice weather,"I'm sorry, I cannot provide real-time weather information.",2024-10-03 08:29:52
How's the weather today,"I'm sorry, I cannot provide real-time weather information.",2024-10-03 08:30:47
Hi,Hello,2024-10-03 08:30:56
How are you,Nothing much,2024-12-05 19:23:07
what's up,Hey,2024-12-05 19:23:28
Hi,Hi there,2024-12-05 19:24:00
Hello,Hey,2024-12-05 19:24:08
Goodbye,See you later,2024-12-05 19:24:44
Thank you,You're welcome,2024-12-05 19:25:03
Thanks,Glad I could help,2024-12-05 19:25:11
I appreciate it,Glad I could help,2024-12-05 19:25:27
Thanks,No problem,2024-12-05 19:25:34
How are you,Hello,2024-12-05 19:25:51
How are you,"I'm fine, thank you",2024-12-05 20:50:44
